Genesis;[8]1,[6]1,[0]1,[1]1,[4]1,[9]1,[2]1
[2]26;[5]27,[4]25,[1]39,[8]40,[2]27,[6]38,[0]37
[8]39;[5]27,[8]41
[5]27;[0]41,[9]40
[6]36;[6]37,[4]27,[2]28,[0]37
[9]34;[0]37
[3]34;[5]28,[6]38,[9]35,[8]42
[6]37;[6]38,[9]35,[8]42,[1]40
[4]25;[4]26,[9]35
[4]26;[5]28,[4]27,[8]42,[1]40,[3]35
[1]39;[5]28,[1]40,[0]38,[4]28,[3]35,[7]34
[8]40;[8]41
[5]28;[6]39
[8]41;[0]38,[4]28,[3]35
[2]27;[2]28,[1]41,[3]36
[4]27;[4]28,[1]41,[3]36,[7]33,[8]43
[2]28;[7]34,[8]44,[1]43
[6]38;[5]29,[7]33
[0]37;[5]29,[0]38,[7]33,[8]43,[9]36,[6]39
[9]35;[9]90
[8]42;[5]29,[8]43,[9]36,[6]39,[1]42
[5]29;[0]46,[4]30,[2]32
[1]40;[1]41,[8]44,[9]36
[0]38;[5]30,[1]42,[0]39,[3]37,[6]40,[2]29
[4]28;[1]43
[3]35;[3]36
[1]41;[5]30,[1]42,[0]39,[3]37
[3]36;[5]31,[0]39
[7]33;[7]34,[3]37
[7]34;[5]30,[6]40,[2]29,[9]37
[5]30;[5]31,[6]42
[8]43;[5]31,[8]44,[6]40
[5]31;[5]32,[7]35,[2]30,[9]38,[0]41,[3]38,[1]44,[8]45
[8]44;[2]29,[9]37
[9]36;[2]82
[6]39;[8]45
[1]42;[1]43
[1]43;[6]41,[0]40,[7]35,[2]30,[9]38,[3]38,[1]44
[0]39;[6]41,[0]40,[7]35,[2]30,[9]38,[3]38
[3]37;[0]40,[6]42
[6]40;[6]41,[1]44,[7]36
[2]29;[8]45,[7]36,[9]40
[9]37;[5]80,[2]83
[6]41;[5]32,[6]42
[0]40;[5]32,[0]41,[9]39
[5]32;[0]47,[1]48
[6]42;[6]43
[6]43;[9]39,[0]42,[7]37
[7]35;[7]36,[0]42,[3]39
[2]30;[0]43,[7]39,[6]46,[9]42
[9]38;[9]39,[3]39,[7]39,[6]46
[0]41;[0]42,[7]37,[6]44,[9]41
[3]38;[7]38,[3]39,[6]44,[0]44
[1]44;[7]38,[9]41,[0]43,[6]45
[8]45;[8]47
[7]36;[5]33,[7]37,[6]45
[9]39;[9]40
[9]40;[5]33,[9]41,[1]45
[5]33;[6]52
[0]42;[0]43,[1]45,[6]47,[9]42
[7]37;[7]38,[0]44
[7]38;[7]39,[1]45,[6]47,[9]42,[0]45,[4]29
[3]39;[0]45,[4]29,[3]41,[2]31
[6]44;[6]45
[9]41;[1]46
[0]43;[0]44,[4]29,[3]40
[7]39;[7]40
[7]40;[0]46,[3]40,[4]30,[9]43,[1]46,[2]31,[6]48,[8]46
[6]45;[6]46
[6]46;[6]47,[3]40,[0]47
[0]44;[0]45,[3]41,[2]31,[6]48,[4]31
[1]45;[1]46,[2]32,[4]32
[6]47;[6]48,[4]31
[9]42;[9]43
[0]45;[0]46,[2]33,[8]46
[4]29;[4]30,[2]33,[1]48
[0]46;[5]34,[0]47,[9]44,[8]47,[4]32,[1]47,[3]43
[3]40;[5]34,[3]41,[9]44,[1]47
[5]34;[6]53
[4]30;[4]31
[9]43;[9]44
[1]46;[1]47,[4]33
[3]41;[3]42
[0]47;[6]49,[4]33,[3]44,[0]48,[9]45,[8]48,[1]49
[3]42;[3]43,[6]49,[0]48
[2]31;[2]32
[6]48;[6]55
[4]31;[4]32,[6]49
[2]32;[2]33
[2]33;[3]44,[0]48,[6]50,[9]46
[8]46;[8]47
[9]44;[2]85,[4]74,[9]96
[8]47;[6]52,[8]49
[4]32;[4]33,[6]51
[1]47;[1]48
